,smiles,GWP100,LT,RE,lip,sol,GWP
7819,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1782877445,0.6352200508,-0.637722373,0.312907517,-4.8949713707,150.7605608869
12733,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1784479618,0.6224597692,-0.6814733744,0.3112869859,-4.8755831718,150.8161888186
11869,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1785011292,0.6447688341,-0.6880897284,0.3125327826,-4.8863210678,150.8346532183
1213,C(C(C(C(C(C(F)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl,2.1785213947,0.4591875076,-0.7016977072,0.32444942,-4.0088934898,150.8416918133
1978,C(C(C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1786494255,0.7123141885,-0.694231987,0.3206610084,-4.503827095,150.8861667646
7729,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1787040234,0.6788847446,-0.5993200541,0.2881384492,-5.0339198112,150.9051367934
1879,C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1787829399,0.6158196926,-0.6623167992,0.3511823416,-4.414607048,150.9325605699
6406,C(C(C(C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1788027287,0.706027925,-0.688554287,0.3498109579,-4.7418990135,150.9394380083
2959,C(C(C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1788170338,0.6744323969,-0.6964433193,0.3517273664,-4.542807579,150.9444098457
9619,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1788675785,0.7150869966,-0.6998323202,0.28536731,-4.9596247673,150.9619783161
