,smiles,GWP,name
293,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(F)F)(Cl)F,,
294,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(F)F,,
295,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,,
296,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)F,,
297,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)F)(F)F,,
298,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)F)(Cl)Cl,,
299,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)F)(Cl)F,,
300,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F)(F)F,,
301,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F)(Cl)Cl,,
302,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(F)F)(Cl)F,,
303,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(F)F,,
304,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
305,C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)F,,
